timestamp,open,high,low,close
2008-06-20,564.44,566.73,559.7,562.08
2008-06-19,575.45,577.87,570.72,570.84
2008-06-18,577.01,578.6,573.54,575.69
2008-06-17,588.86,593.03,586.16,586.19
2008-06-16,580.21,581.19,575.96,579.46
2008-06-13,575.64,581.83,574.46,580.28
2008-06-12,576.34,579.78,574.5,579.05
2008-06-11,582.19,583.08,570.83,572.33
2008-06-10,584.43,587.32,582.73,582.73
2008-06-09,590.02,593.85,586.96,587.76
2008-06-06,602.05,603.1,590.65,590.68
2008-06-05,595.5,600.0,594.1,599.53
2008-06-04,594.63,599.37,593.33,597.01
2008-06-03,600.07,605.9,599.63,605.77
2008-06-02,599.23,602.45,598.89,600.76
2008-05-30,607.61,611.16,604.47,605.35
2008-05-29,609.35,610.31,604.11,606.81
2008-05-28,607.95,612.22,605.53,606.96
2008-05-27,605.05,611.04,604.87,605.85
2008-05-23,615.09,616.92,608.73,608.73
2008-05-22,619.02,621.84,616.92,618.16
2008-05-21,621.59,622.69,618.35,619.81
2008-05-20,628.81,629.26,619.16,619.16
2008-05-19,632.24,637.7,631.16,637.65
2008-05-16,633.71,633.85,628.4,630.43
2008-05-15,623.23,625.85,621.99,625.18
2008-05-14,619.48,625.31,616.79,621.6
2008-05-13,617.43,622.48,616.25,621.19
2008-05-12,623.13,623.68,618.48,622.06
2008-05-09,618.91,621.82,618.06,620.47
2008-05-08,624.75,627.33,623.37,627.08
2008-05-07,624.53,627.5,624.11,626.1
2008-05-06,617.92,621.8,615.59,621.52
2008-05-05,621.55,621.55,621.55,621.55
2008-05-02,614.36,622.39,613.72,621.55
2008-05-01,610.44,611.82,608.28,608.73
2008-04-30,606.38,612.03,605.72,608.73
2008-04-29,609.85,610.51,605.16,608.94
2008-04-28,612.92,612.95,608.35,609.04
2008-04-25,606.16,609.88,604.75,609.14
2008-04-24,597.03,605.07,596.16,605.07
2008-04-23,598.54,608.36,597.88,608.36
2008-04-22,606.1,606.62,600.75,603.47
2008-04-21,603.52,605.79,602.12,605.3
2008-04-18,603.07,606.21,602.09,605.65
2008-04-17,603.66,603.67,597.39,598.04
2008-04-16,595.5,604.62,594.86,604.62
2008-04-15,587.37,594.33,587.33,590.69
2008-04-14,584.96,585.82,582.7,583.16
2008-04-11,591.38,592.61,586.61,589.55
2008-04-10,593.37,597.92,588.19,596.51
2008-04-09,600.46,601.56,597.78,598.39
2008-04-08,596.54,599.02,594.22,599.02
2008-04-07,598.14,601.48,597.79,601.48
2008-04-04,592.69,594.8,588.8,594.71
2008-04-03,588.04,590.02,586.4,589.13
2008-04-02,586.91,592.01,585.45,591.59
2008-04-01,574.69,586.58,574.61,585.26
2008-03-31,568.69,571.51,565.86,570.21
2008-03-28,572.21,573.01,567.37,569.29
2008-03-27,571.27,573.5,567.07,571.75
2008-03-26,567.08,568.03,564.26,566.04
2008-03-25,569.76,570.14,562.43,568.91
2008-03-24,549.52,549.52,549.52,549.52
2008-03-20,551.62,554.2,546.19,549.52
2008-03-19,553.5,564.09,553.1,554.56
2008-03-18,552.48,561.0,551.47,560.58
2008-03-17,549.8,553.65,541.44,541.44
2008-03-14,570.47,578.2,559.58,563.17
2008-03-13,567.9,570.72,562.89,569.24
2008-03-12,579.3,580.32,574.98,577.64
2008-03-11,569.15,578.34,566.8,569.04
2008-03-10,570.84,571.88,561.66,562.91
2008-03-07,570.22,575.64,565.57,569.99
2008-03-06,584.29,584.35,575.31,576.64
2008-03-05,581.61,586.05,579.08,585.35
2008-03-04,575.98,578.29,571.98,576.77
2008-03-03,579.8,586.3,579.79,581.86
2008-02-29,590.77,594.18,585.93,588.43
2008-02-28,602.49,603.07,596.03,596.57
2008-02-27,604.24,608.0,598.9,607.65
2008-02-26,606.92,609.25,602.76,608.74
2008-02-25,599.09,600.72,592.56,599.95
2008-02-22,592.83,597.09,586.38,588.85
2008-02-21,599.64,600.44,591.8,593.22
2008-02-20,586.87,590.47,584.74,589.36
2008-02-19,597.42,603.37,595.07,596.69
2008-02-15,583.8,583.97,576.35,578.76
2008-02-14,590.73,592.3,585.94,587.93
2008-02-13,584.65,591.5,583.58,588.01
2008-02-12,577.98,591.0,576.19,591.0
2008-02-11,575.44,578.22,568.15,570.77
2008-02-08,571.85,579.24,570.31,578.4
2008-02-07,577.91,579.09,570.88,572.41
2008-02-06,586.78,588.89,581.64,587.54
2008-02-05,598.92,598.92,585.28,586.8
2008-02-04,607.1,607.13,600.02,602.62
2008-02-01,599.06,604.49,596.45,602.92
2008-01-31,575.36,589.95,568.94,587.98
2008-01-30,583.67,586.91,582.41,583.73
2008-01-29,583.98,588.52,580.47,588.52
2008-01-28,575.03,581.45,570.51,578.89
2008-01-25,593.21,596.32,584.85,586.9
2008-01-24,582.98,587.58,580.16,587.58
2008-01-23,565.88,569.26,551.83,560.93
2008-01-22,553.96,576.4,551.55,574.01
2008-01-18,598.43,603.09,588.65,590.17
2008-01-17,593.84,600.03,589.54,590.24
2008-01-16,592.52,603.15,591.79,594.29
2008-01-15,615.84,615.86,602.56,602.56
2008-01-14,620.68,624.73,620.66,621.57
2008-01-11,617.97,621.57,616.32,620.2
2008-01-10,625.64,626.75,621.3,622.27
2008-01-09,628.14,629.65,624.18,627.27
2008-01-08,637.21,639.96,634.83,635.65
2008-01-07,637.02,637.32,627.52,633.57
2008-01-04,651.1,651.48,633.32,634.85
2008-01-03,640.47,648.78,640.47,647.94
2008-01-02,649.98,651.23,640.26,641.67
2007-12-31,644.05,645.69,643.28,645.69
2007-12-28,647.04,648.84,643.68,647.69
2007-12-27,649.48,650.41,647.76,649.78
2007-12-26,647.93,647.93,647.93,647.93
2007-12-24,646.81,648.56,646.73,647.93
